,Kingdom,Phylum,Class,Order,Family,Genus,Species,OTU,Lowest_Taxnomic_Rank,Label
FOTU_1184,Fungi,Ascomycota,Dothideomycetes,Capnodiales,unidentified,unidentified,unidentified,FOTU_1184,Capnodiales,FOTU_1184_Capnodiales
FOTU_1185,Fungi,Basidiomycota,Agaricostilbomycetes,Agaricostilbales,Kondoaceae,Kondoa,aeria,FOTU_1185,Kondoa_aeria,FOTU_1185_Kondoa_aeria
FOTU_1186,Fungi,Basidiomycota,Agaricomycetes,unidentified,unidentified,unidentified,unidentified,FOTU_1186,Agaricomycetes,FOTU_1186_Agaricomycetes
FOTU_1187,Fungi,Ascomycota,Dothideomycetes,Mycosphaerellales,Mycosphaerellaceae,Colletogloeum,unidentified,FOTU_1187,Colletogloeum,FOTU_1187_Colletogloeum
FOTU_1188,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Trichomeriaceae,Alatosessilispora,unidentified,FOTU_1188,Alatosessilispora,FOTU_1188_Alatosessilispora
FOTU_1189,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Vishniacozyma,tephrensis,FOTU_1189,Vishniacozyma_tephrensis,FOTU_1189_Vishniacozyma_tephrensis
FOTU_1190,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Capnodiaceae,unidentified,unidentified,FOTU_1190,Capnodiaceae,FOTU_1190_Capnodiaceae
FOTU_1191,Fungi,Ascomycota,Dothideomycetes,Phaeothecales,Phaeothecaceae,unidentified,unidentified,FOTU_1191,Phaeothecaceae,FOTU_1191_Phaeothecaceae
FOTU_1192,Fungi,Ascomycota,Dothideomycetes,Pleosporales,unidentified,unidentified,unidentified,FOTU_1192,Pleosporales,FOTU_1192_Pleosporales
FOTU_1193,Fungi,Ascomycota,Sordariomycetes,Xylariales,Diatrypaceae,Diatrypella,favacea,FOTU_1193,Diatrypella_favacea,FOTU_1193_Diatrypella_favacea
FOTU_1194,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Trimorphomycetaceae,unidentified,unidentified,FOTU_1194,Trimorphomycetaceae,FOTU_1194_Trimorphomycetaceae
FOTU_1195,Fungi,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Coccomyces,strobi,FOTU_1195,Coccomyces_strobi,FOTU_1195_Coccomyces_strobi
FOTU_1196,Fungi,Ascomycota,Sordariomycetes,Diaporthales,Cryphonectriaceae,unidentified,unidentified,FOTU_1196,Cryphonectriaceae,FOTU_1196_Cryphonectriaceae
FOTU_1197,Fungi,Ascomycota,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_1197,Ascomycota,FOTU_1197_Ascomycota
FOTU_1198,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_1198,unidentified,FOTU_1198_unidentified
FOTU_1199,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_1199,Fungi,FOTU_1199_Fungi
FOTU_1200,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Phaeosphaeria,sowerbyi,FOTU_1200,Phaeosphaeria_sowerbyi,FOTU_1200_Phaeosphaeria_sowerbyi
FOTU_1201,Fungi,Basidiomycota,Agaricomycetes,Russulales,Gloeocystidiellaceae,Gloeocystidiellum,kenyense,FOTU_1201,Gloeocystidiellum_kenyense,FOTU_1201_Gloeocystidiellum_kenyense
FOTU_1202,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,unidentified,unidentified,unidentified,FOTU_1202,Pucciniales,FOTU_1202_Pucciniales
FOTU_1203,Fungi,Ascomycota,Sordariomycetes,Xylariales,Amphisphaeriaceae,Microdochium,seminicola,FOTU_1203,Microdochium_seminicola,FOTU_1203_Microdochium_seminicola
FOTU_1204,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Lentitheciaceae,Murilentithecium,clematidis,FOTU_1204,Murilentithecium_clematidis,FOTU_1204_Murilentithecium_clematidis
FOTU_1205,Fungi,Ascomycota,Leotiomycetes,Helotiales,Porodiplodiaceae,Porodiplodia,livistonae,FOTU_1205,Porodiplodia_livistonae,FOTU_1205_Porodiplodia_livistonae
FOTU_1206,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Trichomeriaceae,Trichomerium,lapideum,FOTU_1206,Trichomerium_lapideum,FOTU_1206_Trichomerium_lapideum
FOTU_1207,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Bambusicolaceae,unidentified,unidentified,FOTU_1207,Bambusicolaceae,FOTU_1207_Bambusicolaceae
FOTU_1208,Fungi,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Torrendiella,ciliata,FOTU_1208,Torrendiella_ciliata,FOTU_1208_Torrendiella_ciliata
FOTU_1209,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Incrustoporiaceae,Skeletocutis,diluta,FOTU_1209,Skeletocutis_diluta,FOTU_1209_Skeletocutis_diluta
FOTU_1210,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Phanerochaetaceae,Phlebiopsis,gigantea,FOTU_1210,Phlebiopsis_gigantea,FOTU_1210_Phlebiopsis_gigantea
FOTU_1211,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_1211,unidentified,FOTU_1211_unidentified
FOTU_1212,Fungi,Basidiomycota,Exobasidiomycetes,Golubeviales,Golubeviaceae,Golubevia,pallescens,FOTU_1212,Golubevia_pallescens,FOTU_1212_Golubevia_pallescens
FOTU_1213,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Tremellaceae,Tremella,tropica,FOTU_1213,Tremella_tropica,FOTU_1213_Tremella_tropica
FOTU_1214,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_1214,unidentified,FOTU_1214_unidentified
FOTU_1215,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inosperma,acutofulvum,FOTU_1215,Inosperma_acutofulvum,FOTU_1215_Inosperma_acutofulvum
FOTU_1216,Mocki,Mockmycota,Mockomycetes,Mockoales,Mockoaecea,Mock,mock6,FOTU_1216,mock6,FOTU_1216_Mock_mock6
FOTU_1217,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Vishniacozyma,unidentified,FOTU_1217,Vishniacozyma,FOTU_1217_Vishniacozyma
FOTU_1218,Fungi,Ascomycota,Taphrinomycetes,Taphrinales,Taphrinaceae,Taphrina,unidentified,FOTU_1218,Taphrina,FOTU_1218_Taphrina
FOTU_1219,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lycoperdaceae,Arachnion,unidentified,FOTU_1219,Arachnion,FOTU_1219_Arachnion
FOTU_1220,Fungi,Chytridiomycota,Rhizophlyctidomycetes,Rhizophlyctidales,Rhizophlyctidaceae,Rhizophlyctis,unidentified,FOTU_1220,Rhizophlyctis,FOTU_1220_Rhizophlyctis
FOTU_1221,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Lophiostomataceae,Pseudolophiostoma,mangiferae,FOTU_1221,Pseudolophiostoma_mangiferae,FOTU_1221_Pseudolophiostoma_mangiferae
FOTU_1222,Fungi,Mortierellomycota,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_1222,Mortierellomycota,FOTU_1222_Mortierellomycota
FOTU_1223,Fungi,Olpidiomycota,Olpidiomycetes,Olpidiales,Olpidiaceae,unidentified,unidentified,FOTU_1223,Olpidiaceae,FOTU_1223_Olpidiaceae
FOTU_1224,Fungi,Basidiobolomycota,Basidiobolomycetes,Basidiobolales,unidentified,unidentified,unidentified,FOTU_1224,Basidiobolales,FOTU_1224_Basidiobolales
FOTU_1225,Fungi,Basidiomycota,Agaricomycetes,Agaricales,unidentified,unidentified,unidentified,FOTU_1225,Agaricales,FOTU_1225_Agaricales
FOTU_1226,Fungi,Ascomycota,Sordariomycetes,Diaporthales,Melanconidaceae,Melanconiella,unidentified,FOTU_1226,Melanconiella,FOTU_1226_Melanconiella
FOTU_1227,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_1227,unidentified,FOTU_1227_unidentified
FOTU_1228,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_1228,unidentified,FOTU_1228_unidentified
FOTU_1229,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium,grande,FOTU_1229,Chaetomium_grande,FOTU_1229_Chaetomium_grande
FOTU_1230,Viridiplantae,Anthophyta,Eudicotyledonae,Fagales,Juglandaceae,Carya,tomentosa,FOTU_1230,Carya_tomentosa,FOTU_1230_Carya_tomentosa
FOTU_1231,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Biatriosporaceae,Biatriospora,unidentified,FOTU_1231,Biatriospora,FOTU_1231_Biatriospora
FOTU_1232,Fungi,Basidiomycota,Pucciniomycetes,Septobasidiales,Septobasidiaceae,Septobasidium,carestianum,FOTU_1232,Septobasidium_carestianum,FOTU_1232_Septobasidium_carestianum
FOTU_1233,Fungi,Ascomycota,Dothideomycetes,unidentified,unidentified,unidentified,unidentified,FOTU_1233,Dothideomycetes,FOTU_1233_Dothideomycetes
FOTU_1234,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_1234,unidentified,FOTU_1234_unidentified
FOTU_1235,Fungi,Basidiomycota,Ustilaginomycetes,Ustilaginales,Ustilaginaceae,Farysia,magdalenana,FOTU_1235,Farysia_magdalenana,FOTU_1235_Farysia_magdalenana
FOTU_1236,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_1236,Fungi,FOTU_1236_Fungi
FOTU_1237,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,oligosperma,FOTU_1237,Exophiala_oligosperma,FOTU_1237_Exophiala_oligosperma
FOTU_1238,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymosphaeriaceae,Montagnula,unidentified,FOTU_1238,Montagnula,FOTU_1238_Montagnula
FOTU_1239,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_1239,unidentified,FOTU_1239_unidentified
FOTU_1240,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia,unidentified,FOTU_1240,Curvularia,FOTU_1240_Curvularia
FOTU_1241,Fungi,Ascomycota,Dothideomycetes,Mycosphaerellales,Mycosphaerellaceae,Lecanosticta,unidentified,FOTU_1241,Lecanosticta,FOTU_1241_Lecanosticta
FOTU_1242,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Hyphodermataceae,Hyphoderma,populneum,FOTU_1242,Hyphoderma_populneum,FOTU_1242_Hyphoderma_populneum
FOTU_1243,Fungi,Ascomycota,Sordariomycetes,Diaporthales,Diaporthaceae,Diaporthe,unidentified,FOTU_1243,Diaporthe,FOTU_1243_Diaporthe
FOTU_1244,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Hannaella,unidentified,FOTU_1244,Hannaella,FOTU_1244_Hannaella
FOTU_1245,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_1245,Fungi,FOTU_1245_Fungi
FOTU_1246,Fungi,Ascomycota,Sordariomycetes,Diaporthales,Gnomoniaceae,Ophiognomonia,unidentified,FOTU_1246,Ophiognomonia,FOTU_1246_Ophiognomonia
FOTU_1247,Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Lachnellula,ellisiana,FOTU_1247,Lachnellula_ellisiana,FOTU_1247_Lachnellula_ellisiana
FOTU_1248,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_1248,Fungi,FOTU_1248_Fungi
FOTU_1249,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Vishniacozyma,tephrensis,FOTU_1249,Vishniacozyma_tephrensis,FOTU_1249_Vishniacozyma_tephrensis
FOTU_1250,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Steccherinaceae,Junghuhnia,nitida,FOTU_1250,Junghuhnia_nitida,FOTU_1250_Junghuhnia_nitida
FOTU_1251,Fungi,Ascomycota,Dothideomycetes,Myriangiales,Elsinoaceae,unidentified,unidentified,FOTU_1251,Elsinoaceae,FOTU_1251_Elsinoaceae
FOTU_1252,Fungi,Ascomycota,Dothideomycetes,unidentified,unidentified,unidentified,unidentified,FOTU_1252,Dothideomycetes,FOTU_1252_Dothideomycetes
FOTU_1253,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_1253,unidentified,FOTU_1253_unidentified
FOTU_1254,Fungi,Ascomycota,Sordariomycetes,Diaporthales,Diaporthaceae,Diaporthe,unidentified,FOTU_1254,Diaporthe,FOTU_1254_Diaporthe
FOTU_1255,Fungi,Ascomycota,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_1255,Ascomycota,FOTU_1255_Ascomycota
FOTU_1256,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Neocladophialophora,quercina,FOTU_1256,Neocladophialophora_quercina,FOTU_1256_Neocladophialophora_quercina
FOTU_1257,Fungi,Ascomycota,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_1257,Ascomycota,FOTU_1257_Ascomycota
FOTU_1258,Fungi,Ascomycota,Dothideomycetes,Capnodiales,unidentified,unidentified,unidentified,FOTU_1258,Capnodiales,FOTU_1258_Capnodiales
FOTU_1259,Fungi,Ascomycota,Dothideomycetes,Mycosphaerellales,Mycosphaerellaceae,Zymoseptoria,unidentified,FOTU_1259,Zymoseptoria,FOTU_1259_Zymoseptoria
FOTU_1260,Fungi,Ascomycota,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_1260,Ascomycota,FOTU_1260_Ascomycota
FOTU_1261,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Strelitzianaceae,Strelitziana,unidentified,FOTU_1261,Strelitziana,FOTU_1261_Strelitziana
FOTU_1262,Fungi,Basidiomycota,Exobasidiomycetes,Exobasidiales,Brachybasidiaceae,Meira,unidentified,FOTU_1262,Meira,FOTU_1262_Meira
FOTU_1263,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Dictyosporiaceae,unidentified,unidentified,FOTU_1263,Dictyosporiaceae,FOTU_1263_Dictyosporiaceae
FOTU_1264,Fungi,Ascomycota,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_1264,Ascomycota,FOTU_1264_Ascomycota
FOTU_1265,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Trichomeriaceae,Trichomerium,foliicola,FOTU_1265,Trichomerium_foliicola,FOTU_1265_Trichomerium_foliicola
FOTU_1266,Fungi,Basidiomycota,Agaricomycetes,unidentified,unidentified,unidentified,unidentified,FOTU_1266,Agaricomycetes,FOTU_1266_Agaricomycetes
FOTU_1267,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymosphaeriaceae,Pseudopithomyces,karoo,FOTU_1267,Pseudopithomyces_karoo,FOTU_1267_Pseudopithomyces_karoo
FOTU_1268,Fungi,Ascomycota,Dothideomycetes,Mycosphaerellales,Teratosphaeriaceae,Parateratosphaeria,unidentified,FOTU_1268,Parateratosphaeria,FOTU_1268_Parateratosphaeria
FOTU_1269,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Clitopilus,hobsonii,FOTU_1269,Clitopilus_hobsonii,FOTU_1269_Clitopilus_hobsonii
FOTU_1270,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_1270,unidentified,FOTU_1270_unidentified
FOTU_1271,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_1271,unidentified,FOTU_1271_unidentified
FOTU_1272,Fungi,Ascomycota,Dothideomycetes,Tubeufiales,Tubeufiaceae,unidentified,unidentified,FOTU_1272,Tubeufiaceae,FOTU_1272_Tubeufiaceae
FOTU_1273,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Psathyrella,sulcatotuberculosa,FOTU_1273,Psathyrella_sulcatotuberculosa,FOTU_1273_Psathyrella_sulcatotuberculosa
FOTU_1274,Fungi,Basidiomycota,Agaricomycetes,Polyporales,unidentified,unidentified,unidentified,FOTU_1274,Polyporales,FOTU_1274_Polyporales
FOTU_1275,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactifluus,guttulatus,FOTU_1275,Lactifluus_guttulatus,FOTU_1275_Lactifluus_guttulatus
FOTU_1276,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Rhynchogastremataceae,Papiliotrema,unidentified,FOTU_1276,Papiliotrema,FOTU_1276_Papiliotrema
FOTU_1277,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Roussoellaceae,Neoroussoella,solani,FOTU_1277,Neoroussoella_solani,FOTU_1277_Neoroussoella_solani
FOTU_1278,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_1278,unidentified,FOTU_1278_unidentified
FOTU_1279,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_1279,unidentified,FOTU_1279_unidentified
FOTU_1280,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Plectosphaerellaceae,Plectosphaerella,cucumerina,FOTU_1280,Plectosphaerella_cucumerina,FOTU_1280_Plectosphaerella_cucumerina
FOTU_1281,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_1281,unidentified,FOTU_1281_unidentified
FOTU_1282,Fungi,Basidiomycota,Agaricomycetes,Russulales,Auriscalpiaceae,Artomyces,pyxidatus,FOTU_1282,Artomyces_pyxidatus,FOTU_1282_Artomyces_pyxidatus
FOTU_1283,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,Kodamaea,ohmeri,FOTU_1283,Kodamaea_ohmeri,FOTU_1283_Kodamaea_ohmeri
FOTU_1284,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,unidentified,FOTU_1284,Colletotrichum,FOTU_1284_Colletotrichum
FOTU_1285,Fungi,Basidiomycota,Agaricomycetes,Trechisporales,Trechisporales_fam_Incertae_sedis,unidentified,unidentified,FOTU_1285,Trechisporales_fam_Incertae_sedis,FOTU_1285_Trechisporales_fam_Incertae_sedis
FOTU_1286,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,globalpina,FOTU_1286,Mortierella_globalpina,FOTU_1286_Mortierella_globalpina
FOTU_1287,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_1287,unidentified,FOTU_1287_unidentified
FOTU_1288,Fungi,Ascomycota,Dothideomycetes,unidentified,unidentified,unidentified,unidentified,FOTU_1288,Dothideomycetes,FOTU_1288_Dothideomycetes
FOTU_1289,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Hymenochaetaceae,Fomitiporia,ignea,FOTU_1289,Fomitiporia_ignea,FOTU_1289_Fomitiporia_ignea
FOTU_1290,Fungi,Ascomycota,Dothideomycetes,Botryosphaeriales,Phyllostictaceae,Phyllosticta,capitalensis,FOTU_1290,Phyllosticta_capitalensis,FOTU_1290_Phyllosticta_capitalensis
FOTU_1291,Fungi,Ascomycota,Dothideomycetes,unidentified,unidentified,unidentified,unidentified,FOTU_1291,Dothideomycetes,FOTU_1291_Dothideomycetes
FOTU_1292,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_1292,unidentified,FOTU_1292_unidentified
FOTU_1293,Fungi,Ascomycota,Dothideomycetes,Mycosphaerellales,Teratosphaeriaceae,unidentified,unidentified,FOTU_1293,Teratosphaeriaceae,FOTU_1293_Teratosphaeriaceae
FOTU_1294,Fungi,Ascomycota,Dothideomycetes,unidentified,unidentified,unidentified,unidentified,FOTU_1294,Dothideomycetes,FOTU_1294_Dothideomycetes
FOTU_1295,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Sporobolomyces,roseus,FOTU_1295,Sporobolomyces_roseus,FOTU_1295_Sporobolomyces_roseus
FOTU_1296,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_1296,Fungi,FOTU_1296_Fungi
FOTU_1297,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Thanatephorus,unidentified,FOTU_1297,Thanatephorus,FOTU_1297_Thanatephorus
FOTU_1298,Fungi,Basidiomycota,Tremellomycetes,Tremellales,unidentified,unidentified,unidentified,FOTU_1298,Tremellales,FOTU_1298_Tremellales
FOTU_1299,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_1299,unidentified,FOTU_1299_unidentified
FOTU_1300,Fungi,Ascomycota,Sordariomycetes,Xylariales,unidentified,unidentified,unidentified,FOTU_1300,Xylariales,FOTU_1300_Xylariales
FOTU_1301,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_1301,unidentified,FOTU_1301_unidentified
FOTU_1302,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_1302,unidentified,FOTU_1302_unidentified
FOTU_1303,Fungi,Basidiomycota,Agaricostilbomycetes,Agaricostilbales,Chionosphaeraceae,Kurtzmanomyces,tardus,FOTU_1303,Kurtzmanomyces_tardus,FOTU_1303_Kurtzmanomyces_tardus
FOTU_1304,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,unidentified,unidentified,FOTU_1304,Cryptococcaceae,FOTU_1304_Cryptococcaceae
FOTU_1305,Fungi,Basidiomycota,Agaricomycetes,Russulales,Peniophoraceae,Peniophora,crassitunicata,FOTU_1305,Peniophora_crassitunicata,FOTU_1305_Peniophora_crassitunicata
FOTU_1306,Fungi,Ascomycota,Dothideomycetes,Tubeufiales,Tubeufiaceae,unidentified,unidentified,FOTU_1306,Tubeufiaceae,FOTU_1306_Tubeufiaceae
FOTU_1307,Fungi,Ascomycota,Sordariomycetes,Hypocreales,unidentified,unidentified,unidentified,FOTU_1307,Hypocreales,FOTU_1307_Hypocreales
FOTU_1308,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Massarinaceae,Stagonospora,pseudocaricis,FOTU_1308,Stagonospora_pseudocaricis,FOTU_1308_Stagonospora_pseudocaricis
FOTU_1309,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_1309,unidentified,FOTU_1309_unidentified
FOTU_1310,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Hymenochaetales_fam_Incertae_sedis,Trichaptum,abietinum,FOTU_1310,Trichaptum_abietinum,FOTU_1310_Trichaptum_abietinum
FOTU_1311,Fungi,Basidiomycota,Exobasidiomycetes,Entylomatales,Entylomataceae,Entyloma,bullosum,FOTU_1311,Entyloma_bullosum,FOTU_1311_Entyloma_bullosum
FOTU_1312,Fungi,Ascomycota,Leotiomycetes,Erysiphales,Erysiphaceae,Erysiphe,ostryae,FOTU_1312,Erysiphe_ostryae,FOTU_1312_Erysiphe_ostryae
FOTU_1313,Fungi,Basidiomycota,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_1313,Basidiomycota,FOTU_1313_Basidiomycota
FOTU_1314,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Stictidaceae,Absconditella,rubra,FOTU_1314,Absconditella_rubra,FOTU_1314_Absconditella_rubra
FOTU_1315,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,unidentified,FOTU_1315,Penicillium,FOTU_1315_Penicillium
FOTU_1316,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Sarocladium,subulatum,FOTU_1316,Sarocladium_subulatum,FOTU_1316_Sarocladium_subulatum
FOTU_1317,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Bambusicolaceae,Corylicola,italica,FOTU_1317,Corylicola_italica,FOTU_1317_Corylicola_italica
FOTU_1318,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_1318,unidentified,FOTU_1318_unidentified
FOTU_1319,Fungi,Ascomycota,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_1319,Ascomycota,FOTU_1319_Ascomycota
FOTU_1320,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,unidentified,unidentified,unidentified,FOTU_1320,Chaetothyriales,FOTU_1320_Chaetothyriales
FOTU_1321,Fungi,Basidiomycota,Agaricomycetes,unidentified,unidentified,unidentified,unidentified,FOTU_1321,Agaricomycetes,FOTU_1321_Agaricomycetes
FOTU_1322,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_1322,unidentified,FOTU_1322_unidentified
FOTU_1323,Fungi,Ascomycota,Leotiomycetes,Helotiales,Rutstroemiaceae,Lanzia,luteovirescens,FOTU_1323,Lanzia_luteovirescens,FOTU_1323_Lanzia_luteovirescens
FOTU_1324,Fungi,Ascomycota,Dothideomycetes,Mycosphaerellales,Mycosphaerellaceae,Ramularia,unidentified,FOTU_1324,Ramularia,FOTU_1324_Ramularia
FOTU_1325,Fungi,Ascomycota,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_1325,Ascomycota,FOTU_1325_Ascomycota
FOTU_1326,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Chaetothyriales_fam_Incertae_sedis,Neostrelitziana,acaciigena,FOTU_1326,Neostrelitziana_acaciigena,FOTU_1326_Neostrelitziana_acaciigena
FOTU_1327,Fungi,Ascomycota,Dothideomycetes,Mycosphaerellales,Mycosphaerellaceae,unidentified,unidentified,FOTU_1327,Mycosphaerellaceae,FOTU_1327_Mycosphaerellaceae
FOTU_1328,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Periconiaceae,Noosia,banksiae,FOTU_1328,Noosia_banksiae,FOTU_1328_Noosia_banksiae
FOTU_1329,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Trichomeriaceae,Trichomerium,unidentified,FOTU_1329,Trichomerium,FOTU_1329_Trichomerium
FOTU_1330,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_1330,unidentified,FOTU_1330_unidentified
FOTU_1331,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Phaeosphaeria,unidentified,FOTU_1331,Phaeosphaeria,FOTU_1331_Phaeosphaeria
FOTU_1332,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Sarocladium,ochraceum,FOTU_1332,Sarocladium_ochraceum,FOTU_1332_Sarocladium_ochraceum
FOTU_1333,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Lophiostomataceae,Flabellascoma,unidentified,FOTU_1333,Flabellascoma,FOTU_1333_Flabellascoma
FOTU_1334,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Hyphodontiaceae,Kneiffiella,unidentified,FOTU_1334,Kneiffiella,FOTU_1334_Kneiffiella
FOTU_1335,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_1335,unidentified,FOTU_1335_unidentified
FOTU_1336,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Meruliaceae,Scopuloides,hydnoides,FOTU_1336,Scopuloides_hydnoides,FOTU_1336_Scopuloides_hydnoides
FOTU_1337,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleraceae,Bullera,alba,FOTU_1337,Bullera_alba,FOTU_1337_Bullera_alba
FOTU_1338,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,unidentified,unidentified,FOTU_1338,Mortierellaceae,FOTU_1338_Mortierellaceae
FOTU_1339,Fungi,Basidiomycota,Agaricomycetes,Polyporales,unidentified,unidentified,unidentified,FOTU_1339,Polyporales,FOTU_1339_Polyporales
