,Kingdom,Phylum,Class,Order,Family,Genus,Species,OTU,Lowest_Taxnomic_Rank,Label
FOTU_751,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Steccherinaceae,Steccherinum,laeticolor,FOTU_751,Steccherinum_laeticolor,FOTU_751_Steccherinum_laeticolor
FOTU_752,Fungi,Ascomycota,Dothideomycetes,Mycosphaerellales,Teratosphaeriaceae,Penidiellopsis,ramosus,FOTU_752,Penidiellopsis_ramosus,FOTU_752_Penidiellopsis_ramosus
FOTU_753,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,lixii,FOTU_753,Trichoderma_lixii,FOTU_753_Trichoderma_lixii
FOTU_754,Fungi,Ascomycota,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_754,Ascomycota,FOTU_754_Ascomycota
FOTU_755,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Ganodermataceae,Ganoderma,lobatum,FOTU_755,Ganoderma_lobatum,FOTU_755_Ganoderma_lobatum
FOTU_756,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Trichomeriaceae,Trichomerium,unidentified,FOTU_756,Trichomerium,FOTU_756_Trichomerium
FOTU_757,Fungi,Basidiomycota,Agaricomycetes,Auriculariales,Aporpiaceae,Elmerina,caryae,FOTU_757,Elmerina_caryae,FOTU_757_Elmerina_caryae
FOTU_758,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,unidentified,unidentified,FOTU_758,Nectriaceae,FOTU_758_Nectriaceae
FOTU_759,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Steccherinaceae,Nigroporus,vinosus,FOTU_759,Nigroporus_vinosus,FOTU_759_Nigroporus_vinosus
FOTU_760,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Vishniacozyma,pseudopenaeus,FOTU_760,Vishniacozyma_pseudopenaeus,FOTU_760_Vishniacozyma_pseudopenaeus
